attributes,energy,intensity,residual,fit,pseudovoigt_1,pseudovoigt_2,pseudovoigt_3,gaussian_4,gaussian_5,gaussian_6,atan_7
0,1.0,0.8935483804274674,0.014165493917872009,0.8994185246507211,-0.08246614304287148,-0.05776360778162228,0.04606936027745239,0.05426690223694854,0.13152358463255703,0.3565816542879464,0.8586601784730943
1,0.8935483804274674,1.0,-0.13373933056053425,0.9986081827277958,-0.11486056672062087,-0.028801840216786542,-0.11711982159837439,-0.029551863819738563,0.2461777622422082,0.4984003575413818,0.9269401277948314
2,0.014165493917872009,-0.13373933056053425,1.0,-0.08128519419811593,0.02974964926139685,-0.021642832049659354,-0.03994103386305105,-0.025395325083663524,-0.03017747407078183,-0.027397566228850468,-0.06236947885767277
3,0.8994185246507211,0.9986081827277958,-0.08128519419811593,1.0,-0.1139349593296497,-0.0301185824198321,-0.11991608123181818,-0.031072607786035288,0.24598127893632823,0.4997959907896826,0.928928282259139
4,-0.08246614304287148,-0.11486056672062087,0.02974964926139685,-0.1139349593296497,1.0,0.7536175354567056,-0.009367644277978189,-0.05870829199955287,-0.08494369976082802,-0.10017757939797277,-0.21929151577520153
5,-0.05776360778162228,-0.028801840216786542,-0.021642832049659354,-0.0301185824198321,0.7536175354567056,1.0,-0.0007768811093853067,-0.05476516992155444,-0.07487367647974848,-0.08449580439139602,-0.18491861804427098
6,0.04606936027745239,-0.11711982159837439,-0.03994103386305105,-0.11991608123181818,-0.009367644277978189,-0.0007768811093853067,1.0,0.512935093390806,0.050902822461948154,-0.13360361523893485,-0.2599584538174289
7,0.05426690223694854,-0.029551863819738563,-0.025395325083663524,-0.031072607786035288,-0.05870829199955287,-0.05476516992155444,0.512935093390806,1.0,0.109321855811239,-0.08610145641955333,-0.17117656530833758
8,0.13152358463255703,0.2461777622422082,-0.03017747407078183,0.24598127893632823,-0.08494369976082802,-0.07487367647974848,0.050902822461948154,0.109321855811239,1.0,-0.11089816832021102,-0.041298565912075064
9,0.3565816542879464,0.4984003575413818,-0.027397566228850468,0.4997959907896826,-0.10017757939797277,-0.08449580439139602,-0.13360361523893485,-0.08610145641955333,-0.11089816832021102,1.0,0.4791340524061516
10,0.8586601784730943,0.9269401277948314,-0.06236947885767277,0.928928282259139,-0.21929151577520153,-0.18491861804427098,-0.2599584538174289,-0.17117656530833758,-0.041298565912075064,0.4791340524061516,1.0
