attributes,pseudovoigt_amplitude_1,pseudovoigt_center_1,pseudovoigt_fwhm_g_1,pseudovoigt_fwhm_l_1,pseudovoigt_amplitude_2,pseudovoigt_center_2,pseudovoigt_fwhm_g_2,pseudovoigt_fwhm_l_2,constant_amplitude_3,gaussian_amplitude_4,gaussian_center_4,gaussian_fwhm_g_4
pseudovoigt_center_1,-0.9862283106649913,,,,,,,,,,,
pseudovoigt_fwhm_g_1,0.08087768591070482,0.016337719047078703,,,,,,,,,,
pseudovoigt_fwhm_l_1,0.026422859895268734,0.09199213704177446,0.9707589530283234,,,,,,,,,
pseudovoigt_amplitude_2,-0.8508056947473775,0.7845675730452338,-0.12947342434289133,-0.13806698462988234,,,,,,,,
pseudovoigt_center_2,0.443720894718587,-0.5671057830051938,-0.22593963910738113,-0.3754173331238591,0.01906524917689979,,,,,,,
pseudovoigt_fwhm_g_2,0.46503877490597423,-0.543356574051609,-0.041441070112167695,-0.14152665304317025,0.06033478892009533,0.8392271456101567,,,,,,
pseudovoigt_fwhm_l_2,-0.7971320712781913,0.7838468315613173,-0.22029948420194614,-0.16783283765319543,0.44749434233368474,-0.5198485790152048,-0.7677038773609103,,,,,
constant_amplitude_3,-0.19256163835611795,0.1908234141503389,-0.08828608501696038,-0.07658241281626063,0.18484185277297382,-0.09631860290887163,-0.04615140867123564,0.07011958877932851,,,,
gaussian_amplitude_4,-0.9391516417433717,0.9606615151849531,-0.02662835781007091,0.05913347928634629,0.6203122316031827,-0.6669343985978409,-0.7331418848699987,0.9079454516212739,0.15153400546405374,,,
gaussian_center_4,0.4275708026546227,-0.45981680639412886,0.11186439414852514,0.06599377246402101,0.0556317158685396,0.6369311212860583,0.9347248046811267,-0.8457904795491098,0.000926625676270801,-0.680824994264301,,
